,"NORMALIZED TO OC, WEIGHTED BY EMISSION RATE",,,,,,,,,,,,,,,,,,,,,,,MG/MG OC ALL,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pre 1990,pre 90 no bus,1990-1993,90-93 no bus,1994-1997,1998+,PC,I,II,III,BUS,ID ALL,HCS,HW,CCS,CSJ,UD,HCSF,CCSF,MC,SI,,,pre 1990,pre 90 no bus,1990-1993,90-93 no bus,1994-1997,1998+,PC,I,II,III,BUS,ID ALL,HCS,HW,CCS,CSJ,UD,HCSF,CCSF,MC,SI
average mass/mi/veh,1347.034514,1132.433857,768.5577891,706.7750735,321.4451295,178.1944183,300.8774779,100.1898587,362.9133524,674.4196518,2008.872851,17.42481686,641.4320761,270.2088802,1650.468766,1952.067913,1550.251612,231.8372643,719.2312591,2597.323594,300.8774779,,average mass/mi/veh,1347.034514,1132.433857,768.5577891,706.7750735,321.4451295,178.1944183,300.8774779,100.1898587,362.9133524,674.4196518,2008.872851,17.42481686,641.4320761,270.2088802,1650.468766,1952.067913,1550.251612,231.8372643,719.2312591,2597.323594,300.8774779
,25.40540165,21.47980685,29.72658817,32.73031564,8.335276598,11.93704939,10.79866404,8.672635866,14.43122886,10.88682976,82.53634529,2.685700653,14.52960379,6.169809767,60.85319231,126.5465852,97.34723039,10.43306835,36.55655719,144.538715,10.79866404,,,25.40540165,21.47980685,29.72658817,32.73031564,8.335276598,11.93704939,10.79866404,8.672635866,14.43122886,10.88682976,82.53634529,2.685700653,14.52960379,6.169809767,60.85319231,126.5465852,97.34723039,10.43306835,36.55655719,144.538715,10.79866404
OC/MASS,0.353844369,0.291643384,0.411421181,0.387086844,0.39595154,0.613310168,0.458990384,0.472384525,0.38239455,0.350363305,0.520611414,1.538773514,0.409534977,0.394515113,0.294885765,0.281724694,0.109806682,0.954443095,0.221026386,0.445723532,0.458990384,,OC/MASS,0.353844369,0.291643384,0.411421181,0.387086844,0.39595154,0.613310168,0.458990384,0.472384525,0.38239455,0.350363305,0.520611414,1.538773514,0.409534977,0.394515113,0.294885765,0.281724694,0.109806682,0.954443095,0.221026386,0.445723532,0.458990384
,0.017537762,0.015206641,0.04619222,0.059155492,0.034566993,0.101696329,0.023921379,0.125685142,0.047359466,0.017968548,0.045256852,0.361259434,0.027842855,0.02663255,0.026516832,0.060945923,0.047425103,0.05749841,0.018679427,0.059236654,0.023921379,,,0.017537762,0.015206641,0.04619222,0.059155492,0.034566993,0.101696329,0.023921379,0.125685142,0.047359466,0.017968548,0.045256852,0.361259434,0.027842855,0.02663255,0.026516832,0.060945923,0.047425103,0.05749841,0.018679427,0.059236654,0.023921379
EC/MASS,0.981110884,1.026538694,0.811124942,0.836046754,0.758275968,1.032231569,0.635017149,0.900650256,0.799223969,0.961770077,0.825166502,0.418140084,0.851110691,0.753810415,0.811493942,1.051650775,0.607449547,5.018143985,0.723530453,0.835824005,0.635017149,,EC/MASS,0.981110884,1.026538694,0.811124942,0.836046754,0.758275968,1.032231569,0.635017149,0.900650256,0.799223969,0.961770077,0.825166502,0.418140084,0.851110691,0.753810415,0.811493942,1.051650775,0.607449547,5.018143985,0.723530453,0.835824005,0.635017149
,0.028626408,0.029715583,0.053198992,0.068520156,0.035668916,0.10593105,0.032655654,0.127598447,0.055182996,0.024764864,0.055872496,0.227584872,0.032397506,0.03041362,0.048606972,0.111498767,0.073091146,0.274091351,0.053606151,0.077682372,0.032655654,,,0.028626408,0.029715583,0.053198992,0.068520156,0.035668916,0.10593105,0.032655654,0.127598447,0.055182996,0.024764864,0.055872496,0.227584872,0.032397506,0.03041362,0.048606972,0.111498767,0.073091146,0.274091351,0.053606151,0.077682372,0.032655654
EC/OC,2.772718659,3.519842213,1.971519649,2.159842851,1.915072659,1.683049823,1.38350861,1.906604068,2.090050627,2.745065087,1.584995026,0.271735951,2.078236874,1.910726332,2.751892558,3.732902359,5.531990734,5.257667023,3.273502613,1.875207263,1.38350861,,EC/OC,2.772718659,3.519842213,1.971519649,2.159842851,1.915072659,1.683049823,1.38350861,1.906604068,2.090050627,2.745065087,1.584995026,0.271735951,2.078236874,1.910726332,2.751892558,3.732902359,5.531990734,5.257667023,3.273502613,1.875207263,1.38350861
,0.141284944,0.187482384,0.232565787,0.346804678,0.176450796,0.286866451,0.073005087,0.52518629,0.272056591,0.144528717,0.148393786,0.149786536,0.147611862,0.137017951,0.260413842,0.83165048,2.431095409,0.2661363,0.282827107,0.265901514,0.073005087,,,0.141284944,0.187482384,0.232565787,0.346804678,0.176450796,0.286866451,0.073005087,0.52518629,0.272056591,0.144528717,0.148393786,0.149786536,0.147611862,0.137017951,0.260413842,0.83165048,2.431095409,0.2661363,0.282827107,0.265901514,0.073005087
