SummerSecondary,WinterSecondary,Mobile,SteelMill,Soil,ZincSmelter,Fireworks,CopperSmelter,LeadSmelter
3.4112,1.3101,2.6115,0.61607,0.76882,0.073376,0.076165,0.024758,0.060983
8.0881,0.62338,3.2153,0.50417,0.92546,0.94357,0.099941,1.0397,0.12307
9.9712,0.34864,2.2988,0.24556,1.009,1.422,0.046523,3.6754,0.36111
10.492,0.38831,2.5392,0.25394,0.96262,1.2655,0.04004,0.92577,0.12866
6.3752,0.083356,0.60144,1.1788,0.48687,0.33319,0.25208,0.26447,0.51456
10.78,4.9799,0.3556,0.94856,1.1173,0.59971,0.049136,0.052461,0.17598
14.961,3.7975,0.94078,0.36399,0.44212,0.021883,0.029918,0.013135,0.042323
2.0954,0.62392,0.56649,0.26111,0.32615,0.14367,0.036897,0.07538,0.051226
2.3338,0.38718,1.0621,0.25621,0.40247,0.18811,0.029149,0.15468,0.14583
1.4829,0.3003,0.0035362,0.00041968,2.2539,0.9239,0.00041203,0.061402,0.053403
1.3369,0.58979,0.89965,0.29999,0.25792,0.024444,0.0091698,0.0086569,0.0072265
2.9858,1.8053,0.34246,0.12051,0.18314,0.71311,0.00064215,0.061444,0.19177
4.2455,0.39374,0.55267,0.11417,0.13351,0.32135,0.023458,0.010327,0.019132
2.8106,0.80632,1.9888,0.40246,0.092193,0.22779,0.03268,0.025578,0.037749
6.3525,1.5226,0.94727,0.43926,0.10727,0.1111,0.065654,0.017953,0.11376
9.2088,3.3065,2.0279,0.50033,0.28218,0.1047,0.039506,0.037541,0.12309
11.518,4.0675,0.85008,0.61201,0.26998,0.14337,0.039348,0.10327,0.11479
11.765,3.5452,0.44106,0.2492,0.12786,0.014732,0.015317,0.022421,0.018161
3.0941,0.86352,1.0114,0.17106,0.28916,0.42604,0.020449,0.20849,0.037524
1.6265,0.16353,1.9945,0.25649,0.24449,0.079452,0.031671,0.0030021,0.018541
1.9333,1.6788,1.778,0.38222,0.17409,0.29076,0.049177,0.036375,0.40568
8.6993,2.7274,1.8496,1.3905,0.24514,0.63262,0.11329,0.071158,0.37246
16.179,1.1499,4.3132,1.3329,0.28487,0.34219,0.060814,0.11929,0.30789
18.378,0.87354,1.1803,0.10854,0.28924,2.4279,0.25799,0.029621,0.43406
17.779,0.37088,3.0905,0.58,0.52848,0.35692,0.44351,0.00015902,0.18891
13.939,1.5704,2.6386,0.52123,0.98349,0.045358,0.71254,1.4498e-05,0.0010732
6.4782,0.75168,1.6166,1.5018,1.2883,0.53738,0.43806,0.4061,0.63121
1.8015,0.46445,1.8705,0.53496,0.31541,0.14121,0.052286,0.012548,0.10003
3.0759,0.55199,2.9586,0.1874,0.70448,1.981,0.28535,1.449,0.10692
4.0536,0.40705,3.1333,0.80447,0.39295,0.55437,0.10114,0.018394,0.14311
5.2185,0.23563,2.3401,0.25684,0.59443,1.3665,0.28435,0.0031493,0.27363
11.556,0.59733,4.5455,0.56255,0.71385,0.30788,0.21929,0.010285,0.14374
8.5723,2.3819,1.3032,1.0016,0.35634,0.38344,0.098845,0.077523,0.23674
12.662,2.9128,1.3362,0.31261,0.19249,0.1364,0.06264,0.023331,0.0479
5.9237,1.8761,1.303,0.80835,0.24961,0.36519,0.073424,0.019573,0.069403
7.6404,0.95041,1.7959,0.9569,0.13037,0.58598,0.071174,0.027588,0.080832
12.901,1.4474,1.694,0.28832,0.079494,0.039387,0.10412,0.012579,0.078828
20.644,1.0678,3.1339,0.56964,0.28916,0.0514,0.094336,0.013854,0.026188
20.648,0.63746,2.2469,0.75682,0.21157,0.11442,0.061266,0.012924,0.043603
20.736,0.56703,3.5756,0.58075,0.34388,0.042112,0.13497,0.017425,0.044098
11.309,0.99951,2.0882,0.25734,0.27775,0.026677,0.13335,0.0058938,0.00078462
10.217,1.0901,2.6237,0.46847,0.40681,0.029866,0.098915,0.00037909,0.05258
10.425,1.6426,2.5003,0.80784,1.9997,0.45086,0.25263,0.0064258,0.15434
5.034,0.75531,0.77978,0.65007,1.134,0.37629,0.41196,0.0071501,0.26728
1.6735,0.3869,1.6822,0.49451,0.21756,0.05737,0.18172,0.0070917,0.030379
7.613,0.46756,1.6312,0.73573,1.2166,0.37128,0.40572,0.012985,0.29332
1.5025,0.018214,1.4813,0.0034353,0.00075894,0.065469,31.952,0.68301,0.24544
4.2782,1.5054,1.4228,1.1594,0.32244,0.31897,3.9182,0.13319,0.40138
6.1235,0.35881,1.6148,0.29765,0.16439,0.058699,0.20339,0.024276,0.046269
8.576,0.39205,1.7112,0.19966,0.56304,0.91391,0.45948,0.070883,0.12012
7.0762,0.35736,1.4298,0.70333,1.4011,0.35653,0.20611,0.10394,0.066923
7.6455,0.44777,2.6688,1.3073,2.3111,0.10708,0.20863,0.017146,0.051413
5.1492,0.40099,5.0692,0.53776,0.14111,0.093539,0.16483,0.013533,0.16784
6.9889,0.90903,2.3207,0.84725,0.21668,0.53312,0.042065,0.090394,0.83633
9.8229,0.25531,3.1218,0.78114,0.24271,0.031796,0.070616,0.013167,0.025574
19.11,0.18892,2.7304,0.50326,0.79047,0.082099,0.072343,0.1719,0.037061
3.9253,1.5273,1.106,0.61785,0.34709,0.14867,0.031575,0.33971,0.077961
16.71,2.5275,2.3074,0.47772,0.41513,0.05065,0.06626,0.022339,0.062136
13.591,0.6157,1.193,0.2194,0.59943,1.7549,0.10578,2.5887,0.11289
7.3213,0.12397,2.3711,0.76064,0.27147,0.38354,0.048293,0.3129,0.19163
22.2,1.0079,0.011929,0.032314,0.092521,0.011318,0.056674,0.010512,0.56774
7.8527,0.337,1.7562,0.4093,0.22508,0.11448,0.06697,0.0052934,0.053859
14.381,0.30678,0.90505,0.54488,0.80509,0.57694,0.29344,0.56823,0.37837
13.208,0.73824,1.6057,0.16069,0.38841,1.5914,0.031125,0.15697,0.29552
