Date O1TC O2TC O3TC O4TC OPTC E1TC E2TC E3TC SO4 NO3 NH4 ALXC ASXC BAXC CAXC COXC CRXC CUXC FEXC HGXC KPXC MNXC NIXC PHXC PBXC RBXC SEXC SIXC SRXC TIXC VAXC ZNXC ZRXC
01JUN2001 0.0291911111 0.0691333333 0.2104333333 0.0948888889 0.0640222222 0.1114955556 0.1147888889 0.0176133333 0.4930333333 0.0888888889 0.0894444444 0.0210266667 0.0009586667 0.0748 0.0031222222 0.0004923333 0.0023998333 0.000717 0.0025426667 0.0024083333 0.0028777778 0.0007033333 0.0010596667 0.0114016667 0.0013336667 0.0023452222 0.0007618333 0.0056911111 0.00658 0.00425 0.00323 0.0009083333 0.0025245
02JUN2001 0.0926911111 0.0655333333 0.2115333333 0.0852888889 0.0518222222 0.0838955556 0.1243888889 0.0206133333 0.4930333333 0.0888888889 0.0894444444 0.0073766667 0.0010278333 0.0748 0.0034622222 0.0014406667 0.0023998333 0.001154 0.0025836667 0.0024083333 0.0029277778 0.0006673333 0.0010596667 0.0068816667 0.0012106667 0.0000522222 0.0004626667 0.0051511111 0.00658 0.0446 0.00323 0.0006843333 0.0025245
03JUN2001 0.0445911111 0.0923333333 0.2534333333 0.0996888889 0.0626222222 0.1454955556 0.1478888889 0.0239133333 0.4930333333 0.0888888889 0.0894444444 0.0069566667 0.0098836667 0.03646 0.0034422222 0.0016906667 0.0023998333 0.000552 0.0026866667 0.0024083333 0.0031477778 0.0017293333 0.0010596667 0.0079216667 0.0017666667 0.0000522222 0.0007618333 0.0049711111 0.00658 0.00425 0.00323 0.0008473333 0.0025245
06JUN2001 0.0675911111 0.0930333333 0.2471333333 0.0998888889 0.0808222222 0.2330955556 0.1928888889 0.0240133333 0.4930333333 5.7688888889 6.2729444444 0.0087466667 0.0056436667 0.0748 0.0034522222 0.0021306667 0.0023998333 0.000578 0.0028566667 0.0024083333 0.0033777778 0.0008613333 0.0010596667 0.0107016667 0.0015866667 0.0024682222 0.0007618333 0.0057711111 0.00658 0.00425 0.00323 0.0008703333 0.004347
07JUN2001 0.0377911111 0.1013333333 0.2499333333 0.1147888889 0.0511222222 0.3236955556 0.1747888889 0.0183133333 0.4930333333 0.0888888889 0.0894444444 0.0092666667 0.0010278333 0.0748 0.0036922222 0.0004923333 0.0023998333 0.0006 0.0032466667 0.0024083333 0.0037077778 0.0009013333 0.0024946667 0.0003558333 0.0017466667 0.0007252222 0.0005136667 0.0062111111 0.00658 0.0476 0.00323 0.0010333333 0.0025245
08JUN2001 0.0664911111 0.1179333333 0.2620333333 0.1254888889 0.1494222222 0.4214955556 0.2624888889 0.0334133333 0.4930333333 0.0888888889 0.0894444444 0.0042933333 0.0010278333 0.0748 0.4132222222 0.0004923333 0.0023998333 0.000609 0.4096666667 0.0024083333 0.2441777778 0.0010126667 0.0010596667 0.0003558333 0.0019833333 0.0000522222 0.0007618333 0.3782911111 0.00658 0.00425 0.00323 0.1198433333 0.0025245
09JUN2001 0.1451911111 0.1774333333 0.3952333333 0.1876888889 0.1836222222 0.8158955556 0.2323888889 0.0255133333 0.4930333333 0.0888888889 0.0894444444 0.0104566667 0.0083736667 0.0748 0.0043122222 0.0038506667 0.0084423333 0.000622 0.0032666667 0.0024083333 0.0034877778 0.0008613333 0.0009106667 0.0003558333 0.0016566667 0.0020692222 0.0004866667 0.0071111111 0.00658 0.047 0.00323 0.0008913333 0.0025245
10JUN2001 0.1156911111 0.1385333333 0.2710333333 0.1191888889 0.1892222222 0.3880955556 0.1973888889 0.0362133333 0.4930333333 0.0888888889 0.0894444444 0.0042933333 0.0010278333 0.0748 0.4132222222 0.0004923333 0.0023998333 0.000609 0.4096666667 0.0024083333 0.2441777778 0.0010126667 0.0010596667 0.0003558333 0.0019833333 0.0000522222 0.0007618333 0.3782911111 0.00658 0.00425 0.00323 0.1198433333 0.0025245
11JUN2001 0.0700911111 0.1400333333 0.2316333333 0.1132888889 0.2285222222 0.4264955556 0.1921888889 0.0541133333 0.4930333333 0.0888888889 0.0894444444 0.0106566667 0.0112936667 0.03778 0.0038522222 0.0004923333 0.0023998333 0.000549 0.0027566667 0.0024083333 0.0046277778 0.0008593333 0.0010596667 0.0003558333 0.0018566667 0.0024832222 0.0005096667 0.0069611111 0.00658 0.00425 0.00323 0.0016033333 0.0025245
12JUN2001 0.0988911111 0.1689333333 0.2634333333 0.1109888889 0.2913222222 0.7256955556 0.1966888889 0.0646133333 0.4930333333 0.0888888889 0.0894444444 0.0116266667 0.0059436667 0.0748 0.0042722222 0.0004923333 0.0023998333 0.000512 0.0029266667 0.0024083333 0.0049477778 0.0008163333 0.0010596667 0.0003558333 0.0015866667 0.0024802222 0.0005106667 0.0077511111 0.00658 0.00425 0.00323 0.0008943333 0.0025245
13JUN2001 0.0610911111 0.1380333333 0.2646333333 0.1287888889 0.2098222222 0.6076955556 0.1721888889 0.0694133333 0.4930333333 0.0888888889 0.0894444444 0.0122266667 0.0009386667 0.0748 0.0046922222 0.0024006667 0.0023998333 0.000517 0.0029266667 0.0024083333 0.0058877778 0.0007353333 0.0010596667 0.0003558333 0.0013076667 0.0008242222 0.0004986667 0.0085311111 0.00658 0.00425 0.00323 0.0007163333 0.0025245
14JUN2001 0.0348911111 0.1034333333 0.2673333333 0.1345888889 0.1696222222 0.4254955556 0.1299888889 0.0392133333 0.4930333333 0.0888888889 0.0894444444 0.0125266667 0.0010278333 0.03874 0.0045922222 0.0027306667 0.0050223333 0.000502 0.0030166667 0.0024083333 0.0049877778 0.0007073333 0.0025096667 0.0003558333 0.0013126667 0.0026182222 0.0007618333 0.0093611111 0.00658 0.00425 0.00323 0.0007733333 0.0025245
15JUN2001 0.0335911111 0.0696333333 0.1963333333 0.0840888889 0.0849222222 0.1124955556 0.1171888889 0.0363133333 0.4930333333 0.0888888889 0.0894444444 0.0078166667 0.0010278333 0.03718 0.0034622222 0.0019306667 0.0023998333 0.000524 0.0027766667 0.0024083333 0.0030977778 0.0007013333 0.0010596667 0.0003558333 0.0013976667 0.0008062222 0.0004856667 0.0056511111 0.00658 0.00425 0.00323 0.0007453333 0.0025245
16JUN2001 0.0866911111 0.1332333333 0.2957333333 0.1315888889 0.2278222222 0.3344955556 0.1981888889 0.0489133333 0.4930333333 0.0888888889 0.0894444444 0.0084366667 0.0175936667 0.0748 0.0039222222 0.0021406667 0.0023998333 0.000507 0.0028466667 0.0024083333 0.0033777778 0.0007073333 0.0009106667 0.0003558333 0.0021066667 0.0023602222 0.0005076667 0.0063411111 0.00658 0.00425 0.00323 0.0009443333 0.0025245
17JUN2001 0.1107911111 0.1487333333 0.2880333333 0.1177888889 0.3020222222 0.6870955556 0.2188888889 0.0478133333 0.4930333333 0.0888888889 0.0894444444 0.0091066667 0.0016736667 0.04 0.0039722222 0.0004923333 0.0023998333 0.000535 0.0029966667 0.0024083333 0.0037477778 0.0008413333 0.0025786667 0.0003558333 0.0015556667 0.0026812222 0.0007618333 0.0063911111 0.00658 0.00425 0.00323 0.0009793333 0.0025245
18JUN2001 0.0370911111 0.0934333333 0.2568333333 0.1160888889 0.1790222222 0.3740955556 0.1485888889 0.0379133333 0.4930333333 0.0888888889 0.0894444444 0.0092566667 0.0073136667 0.0748 0.0040422222 0.0004923333 0.0023998333 0.000533 0.0027866667 0.0024083333 0.0045277778 0.0008383333 0.0010596667 0.0003558333 0.0016466667 0.0024532222 0.0004856667 0.0072011111 0.00658 0.00425 0.00323 0.0013033333 0.0025245
19JUN2001 0.0468911111 0.1316333333 0.2451333333 0.1163888889 0.1896222222 0.4080955556 0.2120888889 0.0399133333 0.4930333333 0.0888888889 0.0894444444 0.0113266667 0.0010278333 0.0748 0.0045122222 0.0025506667 0.0023998333 0.000536 0.0029766667 0.0024083333 0.0044377778 0.0009293333 0.0010596667 0.0003558333 0.0015186667 0.0028582222 0.0005166667 0.0079411111 0.00658 0.00425 0.00323 0.0008763333 0.0025245
20JUN2001 0.0354911111 0.0987333333 0.2236333333 0.1052888889 0.1637222222 0.2518955556 0.1944888889 0.0451133333 0.4930333333 0.0888888889 0.0894444444 0.0101566667 0.0010278333 0.0394 0.0034422222 0.0029406667 0.0023998333 0.000624 0.0030966667 0.0024083333 0.0037677778 0.0008593333 0.0010596667 0.0003558333 0.0016666667 0.0026602222 0.0005346667 0.0067311111 0.00658 0.00425 0.00323 0.0009323333 0.0025245
21JUN2001 0.0447911111 0.1124333333 0.2073333333 0.1005888889 0.1471222222 0.3282955556 0.1272888889 0.0003966667 0.4930333333 0.0888888889 0.0894444444 0.0094166667 0.0026836667 0.0748 0.0032822222 0.0016306667 0.0023998333 0.000534 0.0026766667 0.0024083333 0.0033077778 0.0007123333 0.0010596667 0.0003558333 0.0013426667 0.0022882222 0.0004946667 0.0057911111 0.00658 0.0464 0.01991 0.0007633333 0.0025245
22JUN2001 0.0429911111 0.1119333333 0.2237333333 0.1106888889 0.1228222222 0.2374955556 0.2064888889 0.0380133333 0.4930333333 0.0888888889 0.0894444444 0.0086966667 0.0010278333 0.03703 0.0033322222 0.0024206667 0.0023998333 0.000539 0.0029466667 0.0024083333 0.0035477778 0.0007953333 0.0010596667 0.0003558333 0.0013536667 0.0000522222 0.0004916667 0.0060211111 0.00658 0.00425 0.00323 0.0008893333 0.0025245
23JUN2001 0.0410911111 0.1113333333 0.2105333333 0.1023888889 0.1581222222 0.2820955556 0.2203888889 0.0321133333 0.4930333333 0.0888888889 0.0894444444 0.0250266667 0.0031736667 0.0748 0.0035122222 0.0004923333 0.0023998333 0.000529 0.0030166667 0.0024083333 0.0033177778 0.0007833333 0.0010596667 0.0003558333 0.0013876667 0.0022552222 0.0004956667 0.0058211111 0.00658 0.0455 0.00323 0.0009873333 0.0025245
24JUN2001 1.0893911111 0.1867333333 0.4305333333 0.1835888889 0.8055222222 0.9646955556 0.2989888889 0.0545133333 0.4930333333 0.0888888889 0.0894444444 0.0042933333 0.0034036667 0.0748 0.0033622222 0.0016006667 0.0023998333 0.000532 0.0026646667 0.0024083333 0.0035277778 0.0006903333 0.0010596667 0.0003558333 0.0014386667 0.0000522222 0.0005196667 0.0062711111 0.00658 0.0482 0.00323 0.0007073333 0.0025245
25JUN2001 0.0618911111 0.1537333333 0.2089333333 0.1098888889 0.2340222222 0.3826955556 0.2532888889 0.0370133333 0.4930333333 0.0888888889 0.0894444444 0.0114266667 0.0026836667 0.0748 0.0039422222 0.0004923333 0.0023998333 0.000528 0.0029366667 0.0024083333 0.0036277778 0.0007063333 0.0009526667 0.0003558333 0.0014086667 0.0029302222 0.0005356667 0.0072011111 0.00658 0.05 0.00323 0.0007313333 0.0025245
26JUN2001 0.0545911111 0.1697333333 0.2194333333 0.1244888889 0.3322222222 0.6036955556 0.2667888889 0.0441133333 0.4930333333 0.0888888889 0.0894444444 0.0323266667 0.0010278333 0.0949 0.0035922222 0.0026006667 0.0023998333 0.000533 0.0029866667 0.0024083333 0.0033477778 0.0008273333 0.0009946667 0.0328016667 0.0013666667 0.0031222222 0.0005146667 0.0069211111 0.00658 0.00425 0.00323 0.0007813333 0.0025245
27JUN2001 0.0461911111 0.1388333333 0.2209333333 0.1473888889 0.2695222222 0.3428955556 0.2563888889 0.0481133333 0.4930333333 0.0888888889 0.0894444444 0.0319266667 0.0029536667 0.0748 0.0040622222 0.0024506667 0.0023998333 0.000535 0.0029466667 0.0024083333 0.0038377778 0.0007193333 0.0025816667 0.0003558333 0.0013786667 0.0026452222 0.0005096667 0.0073411111 0.00658 0.047 0.02012 0.0007223333 0.0025245
28JUN2001 0.0003188889 0.1092333333 0.2293333333 0.1211888889 0.1158222222 0.2404955556 0.2355888889 0.0710133333 0.4930333333 0.0888888889 0.0894444444 0.0106066667 0.0019836667 0.1012 0.0035522222 0.0004923333 0.0023998333 0.000532 0.0026766667 0.0024083333 0.0036777778 0.0007113333 0.0010596667 0.0003558333 0.0013466667 0.0026152222 0.0005196667 0.0066311111 0.00658 0.00425 0.00323 0.0007003333 0.0025245
29JUN2001 0.0320911111 0.1222333333 0.2039333333 0.0942888889 0.1644222222 0.3136955556 0.1512888889 0.0211133333 0.4930333333 0.0888888889 0.0894444444 0.0099966667 0.0027736667 0.0748 0.0037622222 0.0004923333 0.0023998333 0.001204 0.0028166667 0.0024083333 0.0035677778 0.0008163333 0.0010596667 0.0190016667 0.0014126667 0.0025822222 0.0005156667 0.0066811111 0.00658 0.00425 0.00323 0.0006943333 0.0025245
30JUN2001 0.0003188889 0.1139333333 0.2103333333 0.1048888889 0.1531222222 0.3060955556 0.1793888889 0.0346133333 0.4930333333 0.0888888889 0.0894444444 0.0136266667 0.0050736667 0.03799 0.0043722222 0.0033606667 0.0023998333 0.000543 0.0031966667 0.0024083333 0.0046877778 0.0008433333 0.0010596667 0.0003558333 0.0015456667 0.0025582222 0.0005086667 0.0107111111 0.00658 0.00425 0.00323 0.0009673333 0.0025245
01JUL2001 0.0003188889 0.0885333333 0.2390333333 0.1149888889 0.1093222222 0.1830955556 0.1483888889 0.0372133333 0.4930333333 0.0888888889 0.0894444444 0.0117266667 0.0071836667 0.0748 0.0037722222 0.0024606667 0.0023998333 0.000522 0.0029266667 0.0045733333 0.0049477778 0.0006923333 0.0010596667 0.0003558333 0.0016266667 0.0021922222 0.0004836667 0.0084611111 0.00658 0.0461 0.00323 0.0008923333 0.0025245
02JUL2001 0.0003188889 0.0863333333 0.2209333333 0.1021888889 0.0616222222 0.1384955556 0.1663888889 0.0380133333 0.4930333333 0.0888888889 0.0894444444 0.0078666667 0.0020736667 0.03847 0.0034422222 0.0017906667 0.0023998333 0.000529 0.0027466667 0.0024083333 0.0038177778 0.0018593333 0.0010596667 0.0003558333 0.0013046667 0.0023032222 0.0007618333 0.0053611111 0.00658 0.00425 0.00323 0.0006833333 0.0025245
03JUL2001 0.0003188889 0.0983333333 0.2311333333 0.1267888889 0.1077222222 0.2338955556 0.1760888889 0.0428133333 0.4930333333 0.0888888889 0.0894444444 0.0116266667 0.0078436667 0.03673 0.0040822222 0.0027706667 0.0023998333 0.000524 0.0030166667 0.0024083333 0.0050677778 0.0007893333 0.0023866667 0.0003558333 0.0016466667 0.0022642222 0.0004776667 0.0088311111 0.00658 0.00425 0.00323 0.0008943333 0.003867
05JUL2001 0.0307911111 0.1143333333 0.2784333333 0.1330888889 0.0479222222 0.2206955556 0.1301888889 0.0003966667 0.4930333333 0.0888888889 0.0894444444 0.0128266667 0.0115936667 0.0412 0.0120222222 0.0033306667 0.0023998333 0.000768 0.0031666667 0.0024083333 0.0111677778 0.0008413333 0.0010596667 0.0003558333 0.0019066667 0.0026752222 0.0005356667 0.0079111111 0.002419 0.00425 0.00323 0.0009273333 0.006237
06JUL2001 0.0003188889 0.0986333333 0.2258333333 0.1190888889 0.1135222222 0.1698955556 0.1696888889 0.0424133333 0.4930333333 0.0888888889 0.0894444444 0.0084466667 0.0024536667 0.0385 0.0034122222 0.0004923333 0.0023998333 0.000553 0.0026356667 0.0024083333 0.0040077778 0.0016193333 0.0010596667 0.0003558333 0.0013106667 0.0021502222 0.0004846667 0.0055711111 0.00658 0.00425 0.00323 0.0006993333 0.0025245
07JUL2001 0.0003188889 0.1123333333 0.2434333333 0.1232888889 0.1249222222 0.1876955556 0.1744888889 0.0442133333 0.4930333333 0.0888888889 0.0894444444 0.0105766667 0.0015836667 0.03715 0.0040222222 0.0017106667 0.0023998333 0.000602 0.0026966667 0.0024083333 0.0053277778 0.0008143333 0.0010596667 0.0175016667 0.0014436667 0.0022612222 0.0007618333 0.0069911111 0.00658 0.00425 0.00323 0.0011343333 0.0025245
08JUL2001 0.0438911111 0.1195333333 0.2653333333 0.1300888889 0.1701222222 0.2266955556 0.1569888889 0.0362133333 0.4930333333 0.0888888889 0.0894444444 0.0125266667 0.0031336667 0.0748 0.0037722222 0.0027306667 0.0023998333 0.000647 0.0030266667 0.0024083333 0.0042377778 0.0007343333 0.0010596667 0.0003558333 0.0014426667 0.0025462222 0.0005166667 0.0094111111 0.00658 0.0503 0.00323 0.0009033333 0.0025245
09JUL2001 0.0342911111 0.1276333333 0.2499333333 0.1307888889 0.1284222222 0.2442955556 0.2057888889 0.0446133333 0.4930333333 0.0888888889 0.0894444444 0.0137266667 0.0010278333 0.03643 0.0043522222 0.0042306667 0.0023998333 0.000508 0.0033566667 0.0024083333 0.0045977778 0.0007353333 0.0024016667 0.0003558333 0.0013326667 0.0022792222 0.0004826667 0.0107111111 0.00658 0.00425 0.00323 0.0007173333 0.003837
10JUL2001 0.0291911111 0.1507333333 0.2667333333 0.1376888889 0.1322222222 0.6804955556 0.2524888889 0.0583133333 0.4930333333 0.0888888889 0.0894444444 0.0239266667 0.0013736667 0.0748 0.0034622222 0.0004923333 0.0023998333 0.001224 0.0094666667 0.0024083333 0.0016237778 0.0050093333 0.0010596667 0.0027616667 0.0039866667 0.0000522222 0.0007618333 0.0134911111 0.00658 0.00365 0.00323 0.0016633333 0.009837
11JUL2001 0.0418911111 0.1058333333 0.3307333333 0.1508888889 0.0414222222 1.0856955556 0.1909888889 0.0003966667 0.4930333333 0.0888888889 0.0894444444 0.0090566667 0.0010278333 0.0748 0.0035922222 0.0004923333 0.0023998333 0.000518 0.0028666667 0.0024083333 0.0038377778 0.0007313333 0.0010596667 0.0003558333 0.0015216667 0.0022972222 0.0004986667 0.0063611111 0.00658 0.0479 0.02051 0.0007203333 0.00156
12JUL2001 0.0308911111 0.1009333333 0.2742333333 0.1098888889 0.0440222222 0.1314955556 0.2071888889 0.0212133333 0.4930333333 0.0888888889 0.0894444444 0.0240266667 0.0010278333 0.04 0.0032422222 0.0004923333 0.0023998333 0.001184 0.0092566667 0.0024083333 0.0015497778 0.0010126667 0.0010596667 0.0022816667 0.0039966667 0.0030322222 0.0007618333 0.0119911111 0.00658 0.00374 0.00323 0.0016333333 0.009957
