Na,Mg,Al,Si,P,S,Cl,K,Ca,Fe,Cu,Zn,Ba,Pb,OC,EC,SO4,NO3
0.248423698,0.097430732,0.105137078,0.219064533,0,1.070188443,0,0.06985049,0.149874191,0.120779085,0.004593233,0.014154939,0.015099991,0.00998559,3.35,0.89,2.407762627,0.98
0,0.024721489,0.080904757,0.283382823,0.090295805,2.295930305,0,0.099757728,0.212251842,0.140674343,0.162759251,0.144664652,0.012764737,0.023226009,4.23,0.82,5.059166926,0.65
0.224338382,0.08902437,0.117374106,0.296476919,0.330765287,2.810275186,0,0.095059454,0.206178016,0.140673937,0.568951291,0.242974113,0,0.065221615,4.48,0.68,5.969028351,0.51
0.05319871,0.094669953,0.09270952,0.279491729,0.053233843,2.88851217,0,0.070800449,0.190941981,0.112833824,0.146456308,0.187681619,0.041885816,0.023918691,3.88,0.37,6.154449153,0.55
0.191463402,0.038521492,0.031512318,0.080851688,0.00287463,1.734734303,0,0.024988284,0.053068424,0.097245045,0.021396806,0.019738644,0.006408181,0.008066343,2.45,0.57,3.928980448,0.23
0,0.096302642,0.094037294,0.313761623,0,3.029154526,0,0.07725345,0.077586377,0.172890239,0.009379846,0.090946866,0.001346182,0.027386833,3.89,0.56,6.733582786,3.7
0.541611531,0.097329973,0.051482378,0.133273378,0,3.892235528,0,0.048592212,0.061046956,0.0824425,0.002453522,0.012607222,0,0.009751711,3.89,0.5,8.827714345,2.72
0.538020225,0.047376713,0.054335255,0.091640578,0.013819371,0.608031393,0,0.032182384,0.040767145,0.05050352,0.012172214,0.022494865,0.012025645,0.008019423,1.74,0.96,1.278203241,0.26
0.282441383,0.102684198,0.059459121,0.115208206,0.012024175,0.687989758,0.000703991,0.032615925,0.071694493,0.057685062,0.024886099,0.031257222,0,0.020936707,1.63,0.5,1.533868499,0.33
0.414613296,0.073989888,0.050638719,0.61745637,0,0.695677867,0.025832495,0.055102293,0.085349156,0.073659513,0.010079945,0.127791769,0.017242751,0.009503546,1.64,0.57,1.398504835,0.28
0.368398806,0.039077059,0.048076417,0.067074301,0,0.407325306,0,0.015692416,0.051238169,0.052052559,0.001464534,0.004578381,0.011257752,0.00160825,1.38,2.12,1.00042646,0.44
0,0.039051936,0.022128263,0.059527058,0.001197826,0.849272778,0.16506185,0.020005799,0.039990583,0.039037926,0.010479228,0.100883584,0.017722224,0.026324157,1.63,0.81,1.822580094,1.3
0.077548939,0.004133129,0.035087337,0.040929553,0,1.095667304,0,0.022694759,0.035945285,0.031308282,0.001852078,0.045961484,0.021346556,0.003956092,1.79,0.34,2.630867834,0.36
0.209781668,0.030871546,0.026100231,0.047635051,0,0.793706875,0,0.031425359,0.099835512,0.073103366,0.004359505,0.033179102,0.012453701,0.00620555,4.07,0.72,1.827941358,0.62
0.228157848,0.024050361,0.013457562,0.048046155,0.010128981,1.668990002,0,0.048803271,0.051743062,0.074797577,0.003621878,0.02103554,0.016090414,0.017134006,4.81,0.81,3.839736676,1.17
0.291169213,0.065381132,0.027700658,0.103440586,0,2.485542741,0,0.050411407,0.11259226,0.09775588,0.006660229,0.022345805,0.002723044,0.019257817,3.75,0.8,5.472890814,2.5
0.790860187,0.037040891,0.004724708,0.098905248,0,3.069519283,0,0.050615052,0.061618917,0.106561592,0.016880774,0.029241374,0.007090471,0.018817018,2.51,0.57,6.774617066,3.22
0.148275704,0.080555713,0.040732974,0.045220143,0.012458829,3.050201406,0,0.030258171,0.028572816,0.052103788,0.003704937,0.009223231,0.004522725,0.005468515,2.94,0.57,7.13306617,2.94
0.208783254,0.025276407,0.01545914,0.091037157,0.009688271,0.874402083,0,0.029003709,0.066616197,0.047341494,0.032812483,0.061693985,0.014440751,0.006931832,2.02,0.53,1.907006578,0.7
0.427211481,0.038295878,0.031940064,0.083430555,0.005760831,0.501437306,0,0.029777127,0.105353913,0.054507403,0.000755978,0.012263641,0,0.003205906,1.67,0.57,1.054422739,0.17
0.214335406,0.077236005,0.033763285,0.074242148,0.001785327,0.624116083,0.030309364,0.046597042,0.103809915,0.076576807,0.007642574,0.048574635,0.032293824,0.055283346,2.4,0.67,1.339040955,1.2
0.21479561,0.086635741,0.046554856,0.106332555,0,2.390695618,0,0.091913883,0.129685581,0.217111669,0.013422148,0.098745227,0.002776522,0.053434308,3.36,1.13,5.439762317,2.15
