"","date","winddir","Na","Mg","Al","Si","Ph","S","Cl","K","Ca","Ti","V","Cr","Mn","Fe","Co","Ni","Cu","Zn","Ga","As","Se","Br","Rb","Sr","Y","Zr","Mo","Pd","Ag","Cd","In","Sn","Sb","Ba","La","Au","Hg","Tl","Pb","U","OC","EC","SO","NO"
"1","2001-05-13",134,0.2484237,0.09743073,0.1051371,0.2190645,0,1.070188,0,0.06985049,0.1498742,0,0,6.94891e-05,0.001778922,0.1207791,0.000965899,0,0.004593233,0.01415494,0.000138978,0.002355682,0.001104877,0.003564793,0.000687943,0.000486424,1.38978e-05,0.000500322,0.000264059,0.000952001,0,0.000396088,0,0,0.004329174,0.01509999,0.005051861,0,0.000750483,0.00031965,0.00998559,0.000340497,3.35,0.89,2.407763,0.98
"2","2001-05-14",206,0,0.02472149,0.08090476,0.2833828,0.0902958,2.29593,0,0.09975773,0.2122518,0,0,0,0.006839517,0.1406743,0.0010844,0.000134664,0.1627593,0.1446647,0.000694583,0.005195198,0.00149548,0.004394301,0.000311854,0.001793158,0.000652058,0.000900123,0.001020612,0.000602445,0.000148839,0.004167499,0.002275114,0.003097274,0.001545093,0.01276474,0.01952629,0,0,0,0.02322601,0,4.23,0.82,5.059167,0.65
"3","2001-05-15",216,0.2243384,0.08902437,0.1173741,0.2964769,0.3307653,2.810275,0,0.09505945,0.206178,0.0101687,0,0,0.00781254,0.1406739,0.000716494,0,0.5689513,0.2429741,0.001212528,0.004422972,0.001481213,0.001047183,0.000874949,0.001288311,0.000199792,0.001329647,0.001798124,0.000358247,0.00217015,0.003954495,0.001109188,0.004850113,0,0,0.01397163,0.000764719,0.000881839,0.000688936,0.06522161,0.000799166,4.48,0.68,5.969028,0.51
"4","2001-05-16",223,0.05319871,0.09466995,0.09270952,0.2794917,0.05323384,2.888512,0,0.07080045,0.190942,0,0,0,0.005178635,0.1128338,0.000815091,0.000274039,0.1464563,0.1876816,0,0.002086913,0.001440462,0.003133883,0.000625371,0.001496675,0.00094157,0.001018863,5.62131e-05,0.000730771,0,0.004033293,0,0.001096156,0.004447865,0.04188582,0.00188314,0,0,0.000590238,0.02391869,0,3.88,0.37,6.154449,0.55
"5","2001-05-18",37,0.1914634,0.03852149,0.03151232,0.08085169,0.00287463,1.734734,0,0.02498828,0.05306842,0.00328012,0,0,0.002831185,0.09724505,0.000970278,0,0.02139681,0.01973864,0.000123095,0.000745811,0.002534309,0.002527068,0.000557548,0.000144818,5.79271e-05,0.000753052,0.000282394,0.001368527,0,0,0.001947797,0,0,0.006408181,0.005814428,0,0,0,0.008066343,0,2.45,0.57,3.92898,0.23
"6","2001-05-19",349,0,0.09630264,0.0940373,0.3137616,0,3.029155,0,0.07725345,0.07758638,0.003806943,0,0,0.006824996,0.1728902,0.000839554,0.000354639,0.009379846,0.09094687,0,0.002040985,0.004270146,0.003039765,0.000788891,0.000448727,0.000267789,0,0.000238839,0.00108563,5.06627e-05,0.000817841,0.000166463,0.00575384,0,0.001346182,0,0,0.000260551,0.00052834,0.02738683,0.000492152,3.89,0.56,6.733583,3.7
"7","2001-05-20",163,0.5416115,0.09732997,0.05148238,0.1332734,0,3.892236,0,0.04859221,0.06104696,0.00755463,0.002134703,0,0.002689171,0.0824425,0.000436644,0,0.002453522,0.01260722,0,0.001566373,0.002703033,0.005426858,0,0.000720809,0,0,0.000138617,0,0,0.00211391,0.001060421,0.003569389,0.000859426,0,0.005565475,0,0,0.000817841,0.009751711,0.001469341,3.89,0.5,8.827714,2.72
"8","2001-05-21",271,0.5380202,0.04737671,0.05433525,0.09164058,0.01381937,0.6080314,0,0.03218238,0.04076714,0,0,0.000174487,0.001954255,0.05050352,0.000411789,0,0.01217221,0.02249486,0,0.000690969,0.000621174,0.003943406,0,0,0.000795661,0.000739825,0,0,0,0,0.002191557,0.001249327,0.000621174,0.01202565,0.01696014,0,0.000209384,0.000321056,0.008019423,0,1.74,0.96,1.278203,0.26
"9","2001-05-22",260,0.2824414,0.1026842,0.05945912,0.1152082,0.01202418,0.6879898,0.000703991,0.03261592,0.0716945,0.003780434,0.000105599,0.000211197,0.002984924,0.05768506,0,0,0.0248861,0.03125722,0,0.000612473,0.000689912,0.001710699,0.000464634,0.000499834,0,0.000232317,9.15189e-05,0,0.00086591,0,0,0,0,0,0,0,0,0.000556153,0.02093671,0,1.63,0.5,1.533868,0.33
"10","2001-05-23",238,0.4146133,0.07398989,0.05063872,0.6174564,0,0.6956779,0.0258325,0.05510229,0.08534916,0,0,0,0.000604516,0.07365951,2.10878e-05,0.000906773,0.01007995,0.1277918,0,0.000217907,0.000126527,0.002368857,0.000604516,0.001012212,0,0.000351463,0,0.001054388,0,0.001145768,0.001187943,0.001152797,0,0.01724275,0,0,0,0,0.009503546,0.000716984,1.64,0.57,1.398505,0.28
